actor,movie_or_TV_name
Actor: Kazuki Yao,Seven Cities Story: Arctic Front
Actor: Kazuki Yao,Unmei no mori
Actor: Kazuki Yao,Black Jack
Actor: Kazuki Yao,Ushio & Tora
Actor: Kazuki Yao,Rokudenashi Blues 1993
Actor: Kazuki Yao,Silent Möbius gaiden: Bakumatsu Anbu shimatsu ki
Actor: Kazuki Yao,Akai Hayate
Actor: Kazuki Yao,Boyfriend
Actor: Kazuki Yao,Madara
Actor: Kazuki Yao,Sohryuden: Legend of the Dragon Kings
Actor: Kazuki Yao,The Heroic Legend of Arislan
Actor: Kazuki Yao,Mitsuteru yokoyama's sangokushi
Actor: Kazuki Yao,Midori no mamorigami
Actor: Kazuki Yao,Jankenman
Actor: Kazuki Yao,Dark Warrior
Actor: Kazuki Yao,Samuraider: Nazo no tenkôsei
Actor: Kazuki Yao,A Wind Named Amnesia
Actor: Kazuki Yao,Yagami's Family Affairs
Actor: Kazuki Yao,Megazone 23 III
Actor: Kazuki Yao,City Hunter: .357 Magnum
Actor: Kazuki Yao,Wrath of the Ninja: The Yotoden Movie
Actor: Kazuki Yao,Bakusou sâkitto roman Twin
Actor: Kazuki Yao,Yotoden: Chronicle of the Warlord Period
Actor: Kazuki Yao,Gunbuster
Actor: Kazuki Yao,Samurai Gold
Actor: Kazuki Yao,The Tokyo Project
Actor: Kazuki Yao,Kosuke and Rikimaru: Dragon of Konpei Island
Actor: Kazuki Yao,Moeru! Onisan
Actor: Kazuki Yao,Mobile Suit SD Gundam Mk I
Actor: Kazuki Yao,Elf 17
Actor: Kazuki Yao,Battle Royal High School
Actor: Kazuki Yao,Ladius
Actor: Kazuki Yao,Relic Armor Legaciam
Actor: Kazuki Yao,Dead Heat
Actor: Kazuki Yao,Kindan no mokushiroku Crystal Triangle
Actor: Kazuki Yao,High School Agent
Actor: Kazuki Yao,Chôjû kishin Dancouga: God Bless Dancouga
Actor: Kazuki Yao,The Humanoid
Actor: Kazuki Yao,Twinkle Heart: Don't Let's Reach the Galaxy
Actor: Kazuki Yao,Windaria
Actor: Kazuki Yao,Captain Tsubasa Movie 04: The Great World Competition! The Junior World Cup
Actor: Kazuki Yao,Megazone 23 Part II: Please Give Me Your Secret
Actor: Kazuki Yao,Mobile Suit Gundam ZZ
Actor: Kazuki Yao,Captain Tsubasa: Europe Daikessen
Actor: Kazuki Yao,Dancouga: Super Beast Machine God
Actor: Kazuki Yao,Mobile Suit Zeta Gundam
Actor: Kazuki Yao,Birth
Actor: Kazuki Yao,Captain Tsubasa
Actor: Kazuya Nakai,Tatami Time Machine Blues
Actor: Kazuya Nakai,One Piece
