actor,movie_or_TV_name
Actor: Kentarô Itô,Golden Kamuy
Actor: Kentarô Itô,Black Clover
Actor: Kentarô Itô,Kamen Rider Heisei Generations Forever
Actor: Kentarô Itô,Lupin III
Actor: Kentarô Itô,Overlord
Actor: Kentarô Itô,Gintama
Actor: Kentarô Itô,Uchu Sentai Kyuranger
Actor: Kentarô Itô,Naruto: Shippûden
Actor: Kentarô Itô,Boruto: Jump Festa Special
Actor: Kentarô Itô,The Perfect Insider
Actor: Kentarô Itô,Baby Steps
Actor: Kentarô Itô,Yowamushi Pedal: The Movie
Actor: Kentarô Itô,Saint Seiya: Soul of Gold
Actor: Kentarô Itô,Yowamushi Pedal Re: Road
Actor: Kentarô Itô,Durarara!!x2
Actor: Kentarô Itô,Yatterman Night
Actor: Kentarô Itô,Yowamushi Pedal
Actor: Kentarô Itô,JoJo's Bizarre Adventure
Actor: Kentarô Itô,Tokyo Ghoul: Root A
Actor: Kentarô Itô,The Last: Naruto the Movie
Actor: Kentarô Itô,Brynhildr in the Darkness
Actor: Kentarô Itô,Lust Struck Trilogy
Actor: Kentarô Itô,Naruto SD: Rock Lee & His Ninja Pals
Actor: Kentarô Itô,Road to Ninja - Naruto the Movie
Actor: Kentarô Itô,Seinto Seiya: Omega
Actor: Kentarô Itô,Ai no Kusabi: Remake
Actor: Kentarô Itô,Bleach
Actor: Kentarô Itô,One Piece
Actor: Kentarô Itô,Naruto Shippuden the Movie: Blood Prison
Actor: Kentarô Itô,Onigamiden - Legend of the Millennium Dragon
Actor: Kentarô Itô,Blue Exorcist
Actor: Kentarô Itô,Bleach the Movie: Hell Verse
Actor: Kentarô Itô,Loups=Garous
Actor: Kentarô Itô,Gekijô-ban Naruto: Soyokaze-den Naruto to majin to 3-tsu no onegai dattebayo!!
Actor: Kentarô Itô,Durarara!!
Actor: Kentarô Itô,Space Battleship Yamato Resurrection
Actor: Kentarô Itô,Needless
Actor: Kentarô Itô,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire
Actor: Kentarô Itô,Mobile Suit Gundam MS IGLOO: Gravity Front
Actor: Kentarô Itô,"Bleach: Fade to Black, I Call Your Name"
Actor: Kentarô Itô,Naruto Shippuden: The Movie - Bonds
Actor: Kentarô Itô,Junjou Romantica
Actor: Kentarô Itô,Hatenkô yûgi
Actor: Kentarô Itô,D.Gray-man
Actor: Kentarô Itô,Rental Magica
